Number	Token	Language	Named Entity	POS	Universal Dependency	Sentence
1000	.	Spn	O	.	PUNCT	s0
1001	Mil	Spn	O	NUM	NUM	s1
1002	gracias	Spn	O	NOUN	NOUN	s1
1003	.	Spn	O	.	PUNCT	s1
1004	I	Eng	O	PRON	PRON	s2
1005	fervently	Eng	O	ADV	ADV	s2
1006	thank	Eng	O	VERB	VERB	s2
1007	my	Eng	O	DET	DET	s2
1008	sister	Eng	O	NOUN	NOUN	s2
1009	,	Eng	O	.	PUNCT	s2
1010	Sarita	Spn	PERSON/PERS	NOUN	PROPN	s2
1011	Chávez	Spn	PERSON/PERS	NOUN	PROPN	s2
1012	Silverman	Eng	PERSON/PERS	NOUN	PROPN	s2
1013	.	Eng	O	.	PUNCT	s2
1014	She	Eng	O/PERS	PRON	PRON	s3
1015	forced	Eng	O	VERB	VERB	s3
1016	me	Eng	O	PRON	PRON	s3
1017	to	Eng	O	PRT	PART	s3
1018	enter	Eng	O	VERB	VERB	s3
1019	my	Eng	O	DET	DET	s3
1020	writing	Eng	O	NOUN	NOUN	s3
1021	in	Eng	O	ADP	ADP	s3
1022	el	Spn	O	DET	DET	s3
1023	andarmagazine’s	Eng	O/ORG	X	X	s3
1024	QUOTE-SYMBOL	Eng	O	.	PUNCT	s3
1025	Chicano	Spn	O/ORG	ADJ	ADJ	s3
1026	Literary	Eng	O/ORG	ADJ	ADJ	s3
1027	Excellence	Eng	O/ORG	NOUN	PROPN	s3
1028	Contest	Eng	O/ORG	NOUN	PROPN	s3
1029	QUOTE-SYMBOL	Eng	O	.	PUNCT	s3
1030	(	Eng	O	.	PUNCT	s3
1031	winning	Eng	O	VERB	VERB	s3
1032	first	Eng	O	ADJ	ADJ	s3
1033	prize	Eng	O	NOUN	NOUN	s3
1034	allí	Spn	O	ADV	ADV	s3
1035	fue	Spn	O	VERB	VERB	s3
1036	,	Spn	O	.	PUNCT	s3
1037	más	Spn	O	ADV	ADV	s3
1038	o	Spn	O	CONJ	CCONJ	s3
1039	menos	Spn	O	ADV	ADV	s3
1040	,	Spn	O	.	PUNCT	s3
1041	el	Spn	O	DET	DET	s3
1042	comienzo	Spn	O	NOUN	NOUN	s3
1043	de	Spn	O	ADP	ADP	s3
1044	todo	Spn	O	DET	DET	s3
1045	este	Spn	O	DET	DET	s3
1046	wild	Eng	O	ADJ	ADJ	s3
1047	ride	Eng	O	NOUN	NOUN	s3
1048	,	Eng	O	.	PUNCT	s3
1049	que	Spn	O	PRT	PART	s3
1050	no	Spn	O	ADV	ADV	s3
1051	?	Spn	O	.	PUNCT	s3
1052	)	Spn	O	.	PUNCT	s3
1053	.	Spn	O	.	PUNCT	s3
1054	And	Eng	O	CONJ	CCONJ	s4
1055	she’s	Eng	O	PRON	PRON	s4
1056	been	Eng	O	VERB	VERB	s4
1057	a	Eng	O	DET	DET	s4
1058	big	Eng	O	ADJ	ADJ	s4
1059	fan	Eng	O	NOUN	NOUN	s4
1060	of	Eng	O	ADP	ADP	s4
1061	my	Eng	O	DET	DET	s4
1062	idiosyncratic	Eng	O	ADJ	ADJ	s4
1063	wordplay	Eng	O	NOUN	NOUN	s4
1064	desde	Spn	O	ADP	ADP	s4
1065	nuestra	Spn	O	DET	DET	s4
1066	temprana	Spn	O	ADJ	ADJ	s4
1067	infancia	Spn	O	NOUN	NOUN	s4
1068	.	Spn	O	.	PUNCT	s4
